"student_user_No","성별","지역","학교넘버","학교","학년","등급","수학점수"
64597,"F","서울특별시",1429,"풍성중학교",479,471,1
6955,"M","서울특별시",76,"동성고등학교",481,463,76
49522,"F","서울특별시",171,"구로고등학교",48,464,NA
52674,"M","경상북도",2722,"상주중학교",479,473,4
7887,"F","부산광역시",542,"한바다중학교",479,472,82
39936,"F","대구광역시",86,"경화여자고등학교",48,467,NA
74511,"F","부산광역시",7741,"선화여자중학교",477,473,37
76295,"F","서울특별시",1289,"서울세륜초등학교",7,471,1
21655,"M","세종특별자치시",347,"종촌중학교",478,471,NA
67457,"M","",21,"기타",699,471,1
754,"F","경기도",2294,"송산초등학교",7,471,1
34939,"F","충청남도",278,"천안새샘중학교",477,472,NA
78793,"F","충청남도",232,"온양여자중학교",479,471,1
57494,"F","서울특별시",9453,"온곡중학교",477,471,1
788,"M","경기도",2761,"부곡고등학교",481,466,NA
73936,"M","경기도",9889,"마석고등학교",48,464,78
7998,"F","",21,"기타",477,471,NA
7659,"F","서울특별시",1,"동북초등학교",698,472,96
78791,"M","부산광역시",516,"용호중학교",7,471,97
7879,"F","경기도",92,"여주고등학교",479,473,57
78782,"F","서울특별시",885,"상계중학교",477,472,NA
74484,"F","경상북도",6756,"율곡초등학교",699,472,6
78798,"F","충청남도",3865,"엄사초등학교",7,472,1
78797,"F","인천광역시",7435,"인천마전초등학교",7,472,1
78773,"F","부산광역시",1113,"장안제일고등학교",48,464,87
78779,"F","경상남도",9326,"장복초등학교",7,471,1
67753,"M","경상남도",929,"김해삼문고등학교",481,465,32
78788,"F","부산광역시",7717,"해연중학교",478,473,4
35536,"M","경기도",988,"용인고등학교",48,467,NA
16835,"F","",21,"기타",7,472,NA
28144,"F","경기도",886,"심석고등학교",48,466,NA
5653,"F","서울특별시",39,"동덕여자고등학교",481,466,49
7878,"F","충청남도",3915,"원당초등학교",478,472,9
7752,"F","부산광역시",8657,"동수영중학교",477,472,8
78778,"F","경상남도",1937,"함양고등학교",479,472,1
77924,"F","경기도",769,"고림중학교",477,472,48
78721,"F","경기도",989,"남양중학교",478,472,99
65852,"M","인천광역시",1354,"선인고등학교",48,466,43
73476,"F","경기도",33,"신봉중학교",479,472,89
77878,"F","경기도",1268,"삼숭중학교",479,471,89
78771,"M","경기도",294,"광주중앙고등학교",481,464,77
2143,"F","경기도",2821,"화중초등학교",699,471,NA
7877,"M","경기도",22,"김포고등학교",48,464,NA
78358,"F","서울특별시",12212,"서울구일초등학교",7,472,1
77938,"F","전라남도",12188,"성전중학교",477,473,53
77554,"M","인천광역시",939,"인천남동초등학교",7,471,1
5262,"M","경상북도",3264,"장흥중학교",479,472,88
71519,"M","인천광역시",3488,"인천청라중학교",477,471,7
76725,"F","경기도",9768,"안양부흥중학교",477,472,9
72839,"F","경기도",1153,"대원중학교",477,472,8
78763,"F","서울특별시",7225,"창문여자고등학교",481,464,76
76739,"M","서울특별시",11342,"서울중앙고등학교",484,466,9
47472,"M","경기도",841,"광동고등학교",48,463,93
46182,"M","충청남도",1426,"천안고등학교",48,466,NA
7842,"F","경기도",12217,"장기초등학교",7,471,1
78754,"F","대전광역시",1146,"대전둔원초등학교",699,472,9
7798,"M","경기도",8337,"나곡중학교",478,471,1
39394,"F","대전광역시",9341,"대전여자중학교",479,472,NA
74429,"M","경기도",1813,"광문초등학교",7,472,9
78319,"F","서울특별시",8815,"상일여자중학교",477,472,96
7474,"M","강원도",1741,"정선중학교",479,471,92
35644,"F","서울특별시",373,"화원중학교",479,472,NA
72747,"F","울산광역시",924,"야음중학교",479,472,1
7216,"F","서울특별시",8319,"서울숭인초등학교",7,472,96
11686,"F","",21,"기타",477,472,NA
5254,"F","경기도",993,"송우고등학교",481,463,NA
2783,"F","경기도",773,"송탄제일고등학교",481,466,NA
19351,"F","서울특별시",657,"서문여자고등학교",481,463,NA
73291,"F","경기도",945,"보라중학교",478,472,96
78748,"M","인천광역시",568,"관교중학교",479,472,92
78747,"F","경기도",9927,"호평고등학교",48,463,NA
78743,"F","전라북도",9797,"전주중앙여자고등학교",48,465,NA
78741,"M","강원도",923,"갑천고등학교",481,466,33
51837,"F","경기도",167,"화정중학교",479,471,1
78739,"F","서울특별시",11342,"서울중앙고등학교",479,471,1
78738,"F","인천광역시",9561,"제물포여자중학교",479,472,NA
78735,"M","",21,"기타",484,468,4
4773,"F","",21,"기타",477,472,7
1636,"M","경기도",7362,"망포중학교",477,471,NA
78731,"F","경기도",753,"소래고등학교",48,469,2
78729,"F","경기도",11461,"의순초등학교",698,473,6
13211,"F","대전광역시",1423,"호수돈여자고등학교",48,464,NA
78725,"F","인천광역시",56,"강화여자중학교",477,471,94
78726,"F","경상북도",772,"약목고등학교",48,468,2
67259,"M","인천광역시",1384,"구월중학교",479,471,1
78722,"F","전라남도",235,"나주고등학교",48,464,75
75268,"F","전라북도",4136,"남원도통초등학교",699,473,9
565,"F","",21,"기타",477,472,9
3451,"F","경기도",2756,"부곡중앙고등학교",482,465,NA
7677,"M","",21,"기타",48,462,NA
78719,"F","서울특별시",321,"정신여자중학교",477,472,95
78716,"M","경기도",2384,"판곡고등학교",48,463,69
16798,"F","경기도",788,"수원여자고등학교",48,462,NA
71692,"F","서울특별시",834,"동도중학교",479,471,1
6894,"F","인천광역시",11474,"인천서곶초등학교",7,471,1
78712,"M","경상북도",9317,"영남삼육중학교",479,471,1
7878,"M","전라북도",2139,"군산중앙중학교",48,469,9
77563,"M","경상북도",9317,"영남삼육중학교",479,471,1
612,"F","경상북도",9317,"영남삼육중학교",479,472,NA
7893,"F","",21,"기타",484,47,NA
65846,"M","",21,"기타",484,464,85
7877,"F","제주특별자치도",833,"신성여자고등학교",481,465,6
481,"F","",21,"기타",477,472,85
7873,"M","충청남도",43,"탑동초등학교",7,472,1
