question_No,student_user_No,개념값,좋은 문제인지 ,난이도,답변평가점수,학교넘버,성별,등급,학년,수학점수,학교,지역
79,78878,51,4,1,5,3173,WOMAN,471,477,100,합포중학교,경상남도
80,78877,39,3,2,0,12033,WOMAN,472,700,95,황상초등학교,경상북도
81,33820,16,0,\N,0,8981,WOMAN,464,481,\N,원화여자고등학교,대구광역시
82,40900,18,3,2,0,352,WOMAN,465,480,\N,대진여자고등학교,서울특별시
83,78874,39,3,2,0,1781,WOMAN,472,477,92,가경중학교,충청북도
84,78869,40,3,2,5,4004,WOMAN,472,700,100,천안월봉초등학교,충청남도
85,51150,14,4,2,5,21,MAN,471,479,100,기타,
86,51150,14,3,2,5,21,MAN,471,479,100,기타,
87,51150,14,3,2,5,21,MAN,471,479,100,기타,
88,51150,14,3,2,5,21,MAN,471,479,100,기타,
89,78861,2201,3,2,3.66667,12246,WOMAN,471,700,100,금반초등학교,경상남도
90,51150,14,4,2,5,21,MAN,471,479,100,기타,
91,51150,14,4,3,5,21,MAN,471,479,100,기타,
92,51150,14,3,2,5,21,MAN,471,479,100,기타,
93,51150,12,3,2,5,21,MAN,471,479,100,기타,
94,51150,12,3,2,0,21,MAN,471,479,100,기타,
95,51150,12,5,2,5,21,MAN,471,479,100,기타,
96,78865,28,0,\N,0,21,MAN,466,484,85,기타,
97,45448,18,3,2,5,319,WOMAN,466,480,40,대원고등학교,대구광역시
98,26406,19,3,2,5,21,WOMAN,464,484,\N,기타,
99,26406,18,3,2,0,21,WOMAN,464,484,\N,기타,
100,15431,18,3,2,5,21,MAN,466,484,\N,기타,
101,78869,40,3,2,5,4004,WOMAN,472,700,100,천안월봉초등학교,충청남도
102,51266,21,3,2,5,10175,MAN,467,480,0,개금고등학교,부산광역시
103,51266,21,4,3,5,10175,MAN,467,480,0,개금고등학교,부산광역시
104,51266,21,3,2,5,10175,MAN,467,480,0,개금고등학교,부산광역시
105,51266,21,3,2,0,10175,MAN,467,480,0,개금고등학교,부산광역시
106,51040,21,4,3,0,21,WOMAN,465,482,85,기타,
107,78865,28,0,\N,0,21,MAN,466,484,85,기타,
108,26405,61,5,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
109,26405,61,3,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
110,26405,61,3,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
111,26405,61,3,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
112,26405,61,3,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
113,26405,61,3,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
114,51266,21,3,2,5,10175,MAN,467,480,0,개금고등학교,부산광역시
115,26405,61,3,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
116,26405,61,5,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
117,26405,61,3,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
118,26405,61,3,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
119,26405,63,5,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
120,26405,61,4,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
121,26405,61,3,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
122,26405,61,3,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
123,26405,61,5,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
124,26405,61,3,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
125,26405,61,5,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
126,75223,53,3,2,5,1676,WOMAN,471,700,100,신창초등학교,광주광역시
127,26405,61,3,2,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
128,77628,52,4,2,5,21,WOMAN,472,477,61,기타,
129,40460,56,4,2,5,9710,WOMAN,472,699,\N,서울대치초등학교,서울특별시
130,78860,41,3,2,0,927,WOMAN,472,477,66,옥동중학교,울산광역시
131,51655,12,4,2,0,1975,WOMAN,465,481,35,천안여자상업고등학교,충청남도
132,73966,28,4,3,0,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
133,15431,18,3,2,5,21,MAN,466,484,\N,기타,
134,73966,28,3,2,0,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
135,71168,26,4,2,0,8341,WOMAN,468,480,51,창원경일여자고등학교,경상남도
136,42438,40,3,2,5,12001,WOMAN,471,700,\N,서울서원초등학교,서울특별시
